time;stockInWarehouse;stockInFinalDest;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge;totalNumberOfBatch;stockOnRoadsProviderToLarge;stockOnRoadsLargeToAverage;stockOnRoadsAverageToSmall;stockOnRoadsSmallToFinal;stockOnRoads
160,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
161,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
162,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
163,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
164,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
165,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
166,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
167,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
168,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
169,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
170,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
171,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
172,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
173,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
174,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
175,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
176,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
177,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
178,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
179,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
180,0; 2605549,5685894988;600468,9112440001;174;260;878;102;1414; 11977,425155000004; 16554,599199999993; 11740,413102499993; 25271,630072500007;65544,06753
